Wavelength,Absorbance,algo
340,0.046,0.046
340.5,0.0465,0.046
341,0.04702,0.046
341.5,0.04947,0.046
342,0.04702,0.046
342.5,0.04844,0.046
343,0.04502,0.046
343.5,0.04605,0.046
344,0.04797,0.046
344.5,0.04694,0.046
345,0.04497,0.046
345.5,0.04407,0.046
346,0.046,0.046
346.5,0.04609,0.046
347,0.04793,0.046
347.5,0.04652,0.046
348,0.04686,0.046
348.5,0.04447,0.046
349,0.04418,0.046
349.5,0.04687,0.046
350,0.0451,0.046
350.5,0.04639,0.046
351,0.045,0.046
351.5,0.04508,0.046
352,0.046,0.046
352.5,0.04608,0.046
353,0.04687,0.046
353.5,0.04554,0.046
354,0.04576,0.046
354.5,0.04364,0.046
355,0.04505,0.046
355.5,0.04545,0.046
356,0.04468,0.046
356.5,0.04233,0.046
357,0.04505,0.046
357.5,0.04521,0.046
358,0.04288,0.046
358.5,0.04212,0.046
359,0.04313,0.046
359.5,0.04374,0.046
360,0.04233,0.046
360.5,0.04402,0.046
361,0.04086,0.046
361.5,0.03971,0.046
362,0.03815,0.046
362.5,0.03885,0.046
363,0.03815,0.046
363.5,0.039,0.046
364,0.039,0.046
364.5,0.03916,0.046
365,0.04,0.046
365.5,0.04,0.046
366,0.04017,0.046
366.5,0.04065,0.046
367,0.03882,0.046
367.5,0.038,0.046
368,0.038,0.046
368.5,0.03838,0.046
369,0.03981,0.046
369.5,0.0392,0.046
370,0.04,0.046
370.5,0.0402,0.046
371,0.04059,0.046
371.5,0.03879,0.046
372,0.03821,0.046
372.5,0.03943,0.046
373,0.04056,0.046
373.5,0.03855,0.046
374,0.03745,0.046
374.5,0.039,0.046
375,0.039,0.046
375.5,0.03947,0.046
376,0.0404,0.046
376.5,0.03814,0.046
377,0.03687,0.046
377.5,0.03613,0.046
378,0.03576,0.046
378.5,0.03748,0.046
379,0.03574,0.046
379.5,0.03553,0.046
380,0.03687,0.046
380.5,0.03636,0.046
381,0.03587,0.046
381.5,0.0362,0.046
382,0.03814,0.046
382.5,0.03779,0.046
383,0.036,0.046
383.5,0.03629,0.046
384,0.03612,0.046
384.5,0.0343,0.046
385,0.0347,0.046
385.5,0.0343,0.046
386,0.03485,0.046
386.5,0.03434,0.046
387,0.03463,0.046
387.5,0.03505,0.046
388,0.03268,0.046
388.5,0.03232,0.046
389,0.03284,0.046
389.5,0.03266,0.046
390,0.03267,0.046
390.5,0.032,0.046
391,0.03149,0.046
391.5,0.03033,0.046
392,0.03,0.046
392.5,0.03035,0.046
393,0.03135,0.046
393.5,0.032,0.046
394,0.03182,0.046
394.5,0.03168,0.046
395,0.03274,0.046
395.5,0.03326,0.046
396,0.03163,0.046
396.5,0.03138,0.046
397,0.03143,0.046
397.5,0.02993,0.046
398,0.02842,0.046
398.5,0.02769,0.046
399,0.02721,0.046
399.5,0.0264,0.046
400,0.0274,0.046
400.5,0.028,0.046
401,0.02698,0.046
401.5,0.02611,0.046
402,0.02741,0.046
402.5,0.02716,0.046
403,0.02495,0.046
403.5,0.02329,0.046
404,0.02386,0.046
404.5,0.025,0.046
405,0.02521,0.046
405.5,0.0244,0.046
406,0.02322,0.046
406.5,0.02372,0.046
407,0.02333,0.046
407.5,0.02182,0.046
408,0.02055,0.046
408.5,0.02,0.046
409,0.01977,0.046
409.5,0.01927,0.046
410,0.01853,0.046
410.5,0.01847,0.046
411,0.01923,0.046
411.5,0.01878,0.046
412,0.01776,0.046
412.5,0.01726,0.046
413,0.01749,0.046
413.5,0.01898,0.046
414,0.01876,0.046
414.5,0.01675,0.046
415,0.017,0.046
415.5,0.01749,0.046
416,0.01624,0.046
416.5,0.01473,0.046
417,0.014,0.046
417.5,0.01504,0.046
418,0.01574,0.046
418.5,0.01471,0.046
419,0.01374,0.046
419.5,0.01376,0.046
420,0.01346,0.046
420.5,0.013,0.046
421,0.01273,0.046
421.5,0.01278,0.046
422,0.01245,0.046
422.5,0.012,0.046
423,0.01116,0.046
423.5,0.01134,0.046
424,0.012,0.046
424.5,1.09E-02,0.046
425,9.15E-03,0.046
425.5,0.00821,0.046
426,9.73E-03,0.046
426.5,0.011,0.046
427,9.55E-03,0.046
427.5,0.0088,0.046
428,0.00841,0.046
428.5,0.00859,0.046
429,0.0084,0.046
429.5,0.0086,0.046
430,0.0084,0.046
430.5,0.008,0.046
431,0.00892,0.046
431.5,0.00858,0.046
432,0.00738,0.046
432.5,0.00824,0.046
433,0.00807,0.046
433.5,0.00782,0.046
434,0.00737,0.046
434.5,0.00637,0.046
435,0.00664,0.046
435.5,0.00636,0.046
436,0.00536,0.046
436.5,0.00629,0.046
437,0.00603,0.046
437.5,0.00582,0.046
438,0.006,0.046
438.5,0.006,0.046
439,0.00534,0.046
439.5,0.005,0.046
440,0.00567,0.046
440.5,0.00667,0.046
441,0.00734,0.046
441.5,0.00716,0.046
442,0.00632,0.046
442.5,0.00669,0.046
443,0.00562,0.046
443.5,0.005,0.046
444,0.0043,0.046
444.5,0.0047,0.046
445,0.00465,0.046
445.5,0.00415,0.046
446,0.004,0.046
446.5,0.00329,0.046
447,0.00228,0.046
447.5,0.00272,0.046
448,0.00372,0.046
448.5,0.004,0.046
449,0.00473,0.046
449.5,0.00427,0.046
450,0.004,0.046
450.5,0.004,0.046
451,0.00474,0.046
451.5,0.00425,0.046
452,0.004,0.046
452.5,0.00249,0.046
453,0.002,0.046
453.5,0.00428,0.046
454,0.00386,0.046
454.5,0.00312,0.046
455,0.00454,0.046
455.5,0.00268,0.046
456,0.00278,0.046
456.5,0.003,0.046
457,0.00143,0.046
457.5,0.00179,0.046
458,0.00437,0.046
458.5,0.00421,0.046
459,0.00241,0.046
459.5,0.0028,0.046
460,0.00461,0.046
460.5,0.00339,0.046
461,0.00219,0.046
461.5,0.002,0.046
462,0.00363,0.046
462.5,0.00318,0.046
463,0.00218,0.046
463.5,0.00283,0.046
464,0.003,0.046
464.5,0.003,0.046
465,0.003,0.046
465.5,0.00384,0.046
466,0.004,0.046
466.5,0.00231,0.046
467,0.00115,0.046
467.5,0.00185,0.046
468,0.00286,0.046
468.5,0.00472,0.046
469,0.00241,0.046
469.5,0.002,0.046
470,0.00461,0.046
470.5,0.005,0.046
471,0.00412,0.046
471.5,0.00224,0.046
472,0.00377,0.046
472.5,0.004,0.046
473,0.00311,0.046
473.5,0.00121,0.046
474,0.00324,0.046
474.5,0.00305,0.046
475,0.0021,0.046
475.5,0.00291,0.046
476,0.003,0.046
476.5,0.00209,0.046
477,0.00292,0.046
477.5,0.00392,0.046
478,0.004,0.046
478.5,0.00215,0.046
479,0.002,0.046
479.5,0.00293,0.046
480,0.003,0.046
480.5,0.003,0.046
481,0.00158,0.046
481.5,0.00386,0.046
482,0.00353,0.046
482.5,0.00111,0.046
483,1.00E-03,0.046
483.5,0.00196,0.046
484,0.00104,0.046
484.5,0.00293,0.046
485,0.003,0.046
485.5,0.00105,0.046
486,0.00198,0.046
486.5,0.00396,0.046
487,0.004,0.046
487.5,0.00203,0.046
488,0.00299,0.046
488.5,0.003,0.046
489,0.002,0.046
489.5,0.003,0.046
